usr_id,hashtags,type
1552409378,auspol,HASHTAGS
35900933,qanda,HASHTAGS
123065985,qanda,HASHTAGS
3219376382,climatechange,HASHTAGS
3219376382,auspol,HASHTAGS
3219376382,qldpol,HASHTAGS
3219376382,nswpol,HASHTAGS
3219376382,springst,HASHTAGS
3219376382,extinctionrebellion,HASHTAGS
3219376382,climatestrike,HASHTAGS
3219376382,thedrum,HASHTAGS
3219376382,qanda,HASHTAGS
3219376382,climatechange,HASHTAGS
557366938,qanda,HASHTAGS
159743606,qanda,HASHTAGS
3141635426,qanda,HASHTAGS
404508332,qanda,HASHTAGS
933821267907612674,breaking,HASHTAGS
933821267907612674,news,HASHTAGS
933821267907612674,icymi,HASHTAGS
933821267907612674,video,HASHTAGS
933821267907612674,theend,HASHTAGS
933821267907612674,qanda,HASHTAGS
933821267907612674,series,HASHTAGS
933821267907612674,future,HASHTAGS
933821267907612674,youtube,HASHTAGS
933821267907612674,breakingnews,HASHTAGS
933821267907612674,inspiration,HASHTAGS
933821267907612674,thursdaymotivation,HASHTAGS
933821267907612674,inspire,HASHTAGS
933821267907612674,update,HASHTAGS
933821267907612674,thursdaythoughts,HASHTAGS
933821267907612674,channel,HASHTAGS
933821267907612674,twitch,HASHTAGS
933821267907612674,vote,HASHTAGS
933821267907612674,new,HASHTAGS
933821267907612674,poll,HASHTAGS
933821267907612674,nowplaying,HASHTAGS
933821267907612674,gamedev,HASHTAGS
